ID,CompanyID,CoverID,Age_from,Age_to,DestinationIDFrom,DestinationIDTo,PricePerDay,MaxPrice,מעל 30 יום,עד 14 ימים
1,2,1,0,60,1,4,2.8,,,
2,2,1,61,65,1,4,4.8,,,
3,2,1,66,70,1,4,7.8,,,
4,2,1,71,75,1,4,13.8,,,
5,2,1,76,95,1,4,26.8,,,
6,2,1,0,18,5,8,1.8,,,
7,2,1,19,60,5,8,2,,,
8,2,1,61,65,5,8,3.6,,,
9,2,1,66,70,5,8,4.8,,,
10,2,1,71,75,5,8,6.35,,,
11,2,1,76,85,5,8,11.4,,,
12,2,1,86,95,5,8,24.37,,,
13,2,2,0,95,1,8,0.2,,,
14,2,3,0,60,1,8,0.7,21,,
15,2,3,61,95,1,8,0.8,24,,
16,2,4,0,95,1,8,0.5,,,
17,2,5,0,95,1,8,1,,,
18,2,6,0,95,1,8,0.8,,,
19,2,7,0,95,1,8,0.5,,,
20,2,8,0,95,1,8,10,,,
21,3,1,0,60,1,1,3.75,,5.66,
22,3,1,61,65,1,1,7.5,,9.55,
23,3,1,66,70,1,1,10.65,,11.95,
24,3,1,71,75,1,1,23,,29.2,
25,3,1,76,79,1,1,37.4,,43.6,
26,3,1,80,95,1,1,37.4,,43.6,
27,3,1,0,60,2,8,2.5,,,
28,3,1,61,65,2,8,2.1,,,
29,3,1,66,70,2,8,4.8,,,
30,3,1,71,75,2,8,14.1,,,
31,3,1,76,79,2,8,25.1,,,
32,3,1,80,95,2,8,25.1,,,
33,3,2,0,95,1,8,0,,,
34,3,3,0,95,1,8,0.8,16,,
35,3,4,0,95,1,8,0.5,,,
36,3,5,0,95,1,8,1.6,89.6,,
37,3,6,0,95,1,8,0.5,,,
38,3,7,0,95,1,8,0.5,,1,
39,3,8,0,95,1,8,8,,,
40,4,1,0,40,1,1,3.3,,,
41,4,1,41,60,1,1,3.3,,,
42,4,1,61,65,1,1,6.6,,,
43,4,1,66,70,1,1,9.5,,,
44,4,1,71,75,1,1,11.4,,,
45,4,1,76,80,1,1,21,,,
46,4,1,81,85,1,1,21,,,
47,4,1,86,95,1,1,32.3,,,
48,4,1,0,40,2,8,2,,,
49,4,1,41,60,2,8,2,,,
50,4,1,61,65,2,8,3.1,,,
51,4,1,66,70,2,8,4.05,,,
52,4,1,71,75,2,8,6.35,,,
53,4,1,76,80,2,8,11.4,,,
54,4,1,81,85,2,8,11.4,,,
55,4,1,86,95,2,8,17,,,
56,4,2,0,95,1,8,0.2,,,
57,4,3,0,17,1,8,0.3,,,
58,4,3,18,40,1,8,0.35,,,
59,4,3,41,60,1,8,0.7,,,
60,4,3,61,75,1,8,0.8,,,
61,4,3,76,85,1,8,2,,,
62,4,3,86,95,1,8,3.5,,,
63,4,4,0,95,1,8,0.39,,,
64,4,5,0,95,1,8,1.6,,,
65,4,6,0,95,1,8,2,,,
66,4,7,0,95,1,8,0.5,,,
67,4,8,0,95,1,8,8,,,
68,1,1,0,17,1,1,2.43,,,2.5
69,1,1,18,44,1,1,2.709,,,2.65
70,1,1,45,60,1,1,3.411,,,3.4
71,1,1,61,65,1,1,5.796,,,
72,1,1,66,70,1,1,8.46,,,
73,1,1,71,75,1,1,11.871,,,
74,1,1,76,80,1,1,17.028,,,
75,1,1,81,85,1,1,33.021,,,
76,1,1,86,95,1,1,33.021,,,
77,1,1,0,17,2,8,1.62,,,1.6
78,1,1,18,44,2,8,1.8,,,1.7
79,1,1,45,60,2,8,2.25,,,2.2
80,1,1,61,65,2,8,3.78,,,
81,1,1,66,70,2,8,5.49,,,
82,1,1,71,75,2,8,7.677,,,
83,1,1,76,80,2,8,19.08,,,
84,1,1,81,85,2,8,21.231,,,
85,1,1,86,95,2,8,21.231,,,
86,1,2,0,95,1,8,0.18,,,0
87,1,3,0,86,1,8,1.5,15,,
88,1,3,87,95,1,8,2.5,15,,
89,1,4,0,95,1,8,0,,,
90,1,5,0,95,1,8,1.71,,,
91,1,6,0,95,1,8,0.72,,,
92,1,7,0,95,1,8,0.54,,,
93,1,8,0,95,1,8,6.075,,,
