company,date,location,passengerNum,amountOfDays,price
פספורט קארד,08/02/2024 14:19:27,אירופה,2,4,29.6
מגדל,08/02/2024 14:25:29,אירופה,1,4,12.8
פניקס,08/02/2024 14:47:55,דרום אמריקה,2,4,75.2
פספורט קארד,08/03/2024 15:48:29,אירופה,3,4,67.2
מגדל,08/03/2024 16:07:31,אירופה,5,14,152.46
פניקס,08/03/2024 16:09:31,ארצות הברית,1,7,99.4
פספורט קארד,08/03/2024 16:14:04,אסיה,2,9,147.6
מגדל,08/03/2024 16:21:20,אירופה,4,8,119.32
מגדל,09/10/2024 16:07:25,אירופה,1,4,0
הראל,09/10/2024 16:14:14,אירופה,1,4,0
פניקס,09/13/2024 15:31:25,אירופה,1,4,0
פספורט קארד,09/13/2024 16:13:09,אירופה,2,7,0
פספורט קארד,09/15/2024 17:35:08,אירופה,1,4,0
פספורט קארד,09/15/2024 17:36:43,אירופה,1,4,0
הראל,09/15/2024 17:37:25,אירופה,1,4,0
הראל,09/15/2024 17:38:08,אירופה,1,4,8
פניקס,09/15/2024 17:40:53,אירופה,1,7,0
הראל,09/15/2024 17:53:52,אירופה,1,4,0
פספורט קארד,09/15/2024 17:55:49,אירופה,1,4,0
פספורט קארד,03/07/2025 16:48:35,אירופה,1,4,10
פספורט קארד,03/07/2025 16:48:46,אירופה,1,4,10
פניקס,03/07/2025 16:52:45,אירופה,1,4,8
פספורט קארד,03/07/2025 16:52:48,אירופה,1,4,10
מגדל,03/07/2025 16:52:51,אירופה,1,4,7.2
הראל,03/07/2025 16:52:53,אירופה,1,4,8
פניקס,03/07/2025 16:53:13,אירופה,1,4,8
פספורט קארד,03/07/2025 16:53:15,אירופה,1,4,10
מגדל,03/07/2025 16:53:18,אירופה,1,4,7.2
הראל,03/07/2025 16:53:20,אירופה,1,4,8
פניקס,03/07/2025 16:53:39,אירופה,1,4,8
הראל,03/07/2025 16:53:42,אירופה,1,4,8
פספורט קארד,03/07/2025 17:40:02,אירופה,1,4,10
מגדל,03/09/2025 19:01:51,אירופה,1,4,7.2
הראל,03/09/2025 19:01:56,אירופה,1,4,8
