
ID,CompanyID,CoverID,Age_from,Age_to,DestinationID,PricePerDay,,,,,
1,2,1,0,,1,1,,,,,
2,2,1,0,60,2,3,,,,,
3,2,1,61,65,2,5,,,,,במנורה - הבסיס כולל בסיס + איתור והצלה 
4,2,1,66,70,2,8,,,,,
5,2,1,71,75,2,14,,,,,
6,2,1,76,84,2,27,,,,,
7,2,2,0,120,NULL,0.2,,,,,
8,5,2,0,120,NULL,0,,,,,
9,4,1,0,60,1,2,,,,,
10,4,1,61,65,1,3.1,,,,,
11,4,1,66,70,1,4.05,,,,,
12,4,1,71,75,1,6.35,,,,,
13,4,1,76,85,1,11.4,,,,,
14,4,1,86,95,1,17,,,,,
15,4,4,,,,0.29,,,,,
16,4,2,0,,,0.2,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
